budget,ckpt_setting,ckpt_dir,ckpt_path,plan_dir,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-static-amix-u10000,checkpoints/open_laptop/demo_clean-static-amix-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-amix-u120000-200-seed0/policy_update_10000_seed_0.ckpt,plans/open_laptop/demo_clean-static-amix-200-seed0,logs/open_laptop/demo_clean-static-amix-u120000-200-seed0/train_20260422_233634.log,logs/open_laptop/demo_clean-static-amix-u10000-200-seed0/eval_20260422_233634.log,41/100,41.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-amix-u10000/2026-04-23 08:15:59/_result.txt,31160,6671
30000,demo_clean-static-amix-u30000,checkpoints/open_laptop/demo_clean-static-amix-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-amix-u120000-200-seed0/policy_update_30000_seed_0.ckpt,plans/open_laptop/demo_clean-static-amix-200-seed0,logs/open_laptop/demo_clean-static-amix-u120000-200-seed0/train_20260422_233634.log,logs/open_laptop/demo_clean-static-amix-u30000-200-seed0/eval_20260422_233634.log,49/100,49.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-amix-u30000/2026-04-23 10:07:08/_result.txt,31160,5623
60000,demo_clean-static-amix-u60000,checkpoints/open_laptop/demo_clean-static-amix-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-amix-u120000-200-seed0/policy_update_60000_seed_0.ckpt,plans/open_laptop/demo_clean-static-amix-200-seed0,logs/open_laptop/demo_clean-static-amix-u120000-200-seed0/train_20260422_233634.log,logs/open_laptop/demo_clean-static-amix-u60000-200-seed0/eval_20260422_233634.log,56/100,56.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-amix-u60000/2026-04-23 11:40:51/_result.txt,31160,5117
120000,demo_clean-static-amix-u120000,checkpoints/open_laptop/demo_clean-static-amix-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-amix-u120000-200-seed0/policy_last.ckpt,plans/open_laptop/demo_clean-static-amix-200-seed0,logs/open_laptop/demo_clean-static-amix-u120000-200-seed0/train_20260422_233634.log,logs/open_laptop/demo_clean-static-amix-u120000-200-seed0/eval_20260422_233634.log,66/100,66.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-amix-u120000/2026-04-23 13:06:09/_result.txt,31160,4290
