budget,ckpt_setting,ckpt_dir,ckpt_path,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-rlas-group-u10000,checkpoints/stack_blocks_three/demo_clean-rlas-group-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS_2/checkpoints/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/policy_update_10000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/train_20260427_090421.log,logs/stack_blocks_three/demo_clean-rlas-group-u10000-200-seed0/eval_20260427_090421.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-rlas-group-u10000/2026-04-28 00:15:28/_result.txt,54664,22761
30000,demo_clean-rlas-group-u30000,checkpoints/stack_blocks_three/demo_clean-rlas-group-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS_2/checkpoints/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/policy_update_30000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/train_20260427_090421.log,logs/stack_blocks_three/demo_clean-rlas-group-u30000-200-seed0/eval_20260427_090421.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-rlas-group-u30000/2026-04-28 06:34:49/_result.txt,54664,25178
60000,demo_clean-rlas-group-u60000,checkpoints/stack_blocks_three/demo_clean-rlas-group-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS_2/checkpoints/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/policy_update_60000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/train_20260427_090421.log,logs/stack_blocks_three/demo_clean-rlas-group-u60000-200-seed0/eval_20260427_090421.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-rlas-group-u60000/2026-04-28 13:34:27/_result.txt,54664,28480
120000,demo_clean-rlas-group-u120000,checkpoints/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS_2/checkpoints/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/policy_last.ckpt,logs/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/train_20260427_090421.log,logs/stack_blocks_three/demo_clean-rlas-group-u120000-200-seed0/eval_20260427_090421.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-rlas-group-u120000/2026-04-28 21:29:08/_result.txt,54664,23450
