budget,ckpt_setting,ckpt_dir,ckpt_path,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-u10000,checkpoints/stack_blocks_three/demo_clean-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/stack_blocks_three/demo_clean-u120000-200-seed0/policy_update_10000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-u120000-200-seed0/train_20260427_090847.log,logs/stack_blocks_three/demo_clean-u10000-200-seed0/eval_20260427_090847.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-u10000/2026-04-27 23:54:55/_result.txt,53144,23334
30000,demo_clean-u30000,checkpoints/stack_blocks_three/demo_clean-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/stack_blocks_three/demo_clean-u120000-200-seed0/policy_update_30000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-u120000-200-seed0/train_20260427_090847.log,logs/stack_blocks_three/demo_clean-u30000-200-seed0/eval_20260427_090847.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-u30000/2026-04-28 06:23:27/_result.txt,53144,25201
60000,demo_clean-u60000,checkpoints/stack_blocks_three/demo_clean-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/stack_blocks_three/demo_clean-u120000-200-seed0/policy_update_60000_seed_0.ckpt,logs/stack_blocks_three/demo_clean-u120000-200-seed0/train_20260427_090847.log,logs/stack_blocks_three/demo_clean-u60000-200-seed0/eval_20260427_090847.log,0/100,0.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-u60000/2026-04-28 13:23:29/_result.txt,53144,28404
120000,demo_clean-u120000,checkpoints/stack_blocks_three/demo_clean-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/stack_blocks_three/demo_clean-u120000-200-seed0/policy_last.ckpt,logs/stack_blocks_three/demo_clean-u120000-200-seed0/train_20260427_090847.log,logs/stack_blocks_three/demo_clean-u120000-200-seed0/eval_20260427_090847.log,1/100,1.0%,eval_result/stack_blocks_three/DP/demo_clean/demo_clean-u120000/2026-04-28 21:16:56/_result.txt,53144,23742
