budget,ckpt_setting,ckpt_dir,ckpt_path,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-u10000,checkpoints/open_laptop/demo_clean-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_10000_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260421_100351.log,logs/open_laptop/demo_clean-u10000-200-seed0/eval_20260421_100351.log,52/100,52.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u10000/2026-04-22 06:19:32/_result.txt,72938,16146
30000,demo_clean-u30000,checkpoints/open_laptop/demo_clean-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_30000_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260421_100351.log,logs/open_laptop/demo_clean-u30000-200-seed0/eval_20260421_100351.log,68/100,68.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u30000/2026-04-22 10:48:37/_result.txt,72938,13943
60000,demo_clean-u60000,checkpoints/open_laptop/demo_clean-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_60000_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260421_100351.log,logs/open_laptop/demo_clean-u60000-200-seed0/eval_20260421_100351.log,70/100,70.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u60000/2026-04-22 14:41:01/_result.txt,72938,13718
120000,demo_clean-u120000,checkpoints/open_laptop/demo_clean-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_last.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260421_100351.log,logs/open_laptop/demo_clean-u120000-200-seed0/eval_20260421_100351.log,67/100,67.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u120000/2026-04-22 18:29:40/_result.txt,72938,14339
