budget,ckpt_setting,ckpt_dir,ckpt_path,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-rlas-u10000,checkpoints/open_laptop/demo_clean-rlas-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS/checkpoints/open_laptop/demo_clean-rlas-u120000-200-seed0/policy_update_10000_seed_0.ckpt,logs/open_laptop/demo_clean-rlas-u120000-200-seed0/train_20260425_102212.log,logs/open_laptop/demo_clean-rlas-u10000-200-seed0/eval_20260425_102212.log,54/100,54.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-rlas-u10000/2026-04-26 04:25:48/_result.txt,65009,16839
30000,demo_clean-rlas-u30000,checkpoints/open_laptop/demo_clean-rlas-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS/checkpoints/open_laptop/demo_clean-rlas-u120000-200-seed0/policy_update_30000_seed_0.ckpt,logs/open_laptop/demo_clean-rlas-u120000-200-seed0/train_20260425_102212.log,logs/open_laptop/demo_clean-rlas-u30000-200-seed0/eval_20260425_102212.log,73/100,73.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-rlas-u30000/2026-04-26 09:06:24/_result.txt,65009,14855
60000,demo_clean-rlas-u60000,checkpoints/open_laptop/demo_clean-rlas-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS/checkpoints/open_laptop/demo_clean-rlas-u120000-200-seed0/policy_update_60000_seed_0.ckpt,logs/open_laptop/demo_clean-rlas-u120000-200-seed0/train_20260425_102212.log,logs/open_laptop/demo_clean-rlas-u60000-200-seed0/eval_20260425_102212.log,71/100,71.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-rlas-u60000/2026-04-26 13:14:00/_result.txt,65009,16495
120000,demo_clean-rlas-u120000,checkpoints/open_laptop/demo_clean-rlas-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP_RLAS/checkpoints/open_laptop/demo_clean-rlas-u120000-200-seed0/policy_last.ckpt,logs/open_laptop/demo_clean-rlas-u120000-200-seed0/train_20260425_102212.log,logs/open_laptop/demo_clean-rlas-u120000-200-seed0/eval_20260425_102212.log,74/100,74.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-rlas-u120000/2026-04-26 17:48:55/_result.txt,65009,13876
