budget,ckpt_setting,ckpt_dir,ckpt_path,plan_dir,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-static-namix-u10000,checkpoints/open_laptop/demo_clean-static-namix-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-namix-u120000-200-seed0/policy_update_10000_seed_0.ckpt,plans/open_laptop/demo_clean-static-namix-200-seed0,logs/open_laptop/demo_clean-static-namix-u120000-200-seed0/train_20260424_115354.log,logs/open_laptop/demo_clean-static-namix-u10000-200-seed0/eval_20260424_115354.log,43/100,43.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-namix-u10000/2026-04-24 19:49:24/_result.txt,28502,7447
30000,demo_clean-static-namix-u30000,checkpoints/open_laptop/demo_clean-static-namix-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-namix-u120000-200-seed0/policy_update_30000_seed_0.ckpt,plans/open_laptop/demo_clean-static-namix-200-seed0,logs/open_laptop/demo_clean-static-namix-u120000-200-seed0/train_20260424_115354.log,logs/open_laptop/demo_clean-static-namix-u30000-200-seed0/eval_20260424_115354.log,67/100,67.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-namix-u30000/2026-04-24 21:53:29/_result.txt,28502,12981
60000,demo_clean-static-namix-u60000,checkpoints/open_laptop/demo_clean-static-namix-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-namix-u120000-200-seed0/policy_update_60000_seed_0.ckpt,plans/open_laptop/demo_clean-static-namix-200-seed0,logs/open_laptop/demo_clean-static-namix-u120000-200-seed0/train_20260424_115354.log,logs/open_laptop/demo_clean-static-namix-u60000-200-seed0/eval_20260424_115354.log,61/100,61.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-namix-u60000/2026-04-25 01:29:50/_result.txt,28502,11878
120000,demo_clean-static-namix-u120000,checkpoints/open_laptop/demo_clean-static-namix-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-namix-u120000-200-seed0/policy_last.ckpt,plans/open_laptop/demo_clean-static-namix-200-seed0,logs/open_laptop/demo_clean-static-namix-u120000-200-seed0/train_20260424_115354.log,logs/open_laptop/demo_clean-static-namix-u120000-200-seed0/eval_20260424_115354.log,62/100,62.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-namix-u120000/2026-04-25 04:47:48/_result.txt,28502,12560
