budget,ckpt_setting,ckpt_dir,ckpt_path,plan_dir,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
0,demo_clean-static-s2g4-u0,checkpoints/open_laptop/demo_clean-static-s2g4-u0-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_0_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260419_121621.log,logs/open_laptop/demo_clean-static-s2g4-u0-200-seed0/eval_20260419_121621.log,82/100,82.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u0/2026-04-20 02:49:16/_result.txt,52288,19414
30000,demo_clean-static-s2g4-u30000,checkpoints/open_laptop/demo_clean-static-s2g4-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_30000_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260419_121621.log,logs/open_laptop/demo_clean-static-s2g4-u30000-200-seed0/eval_20260419_121621.log,72/100,72.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u30000/2026-04-20 08:12:48/_result.txt,52288,11566
60000,demo_clean-static-s2g4-u60000,checkpoints/open_laptop/demo_clean-static-s2g4-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_60000_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260419_121621.log,logs/open_laptop/demo_clean-static-s2g4-u60000-200-seed0/eval_20260419_121621.log,69/100,69.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u60000/2026-04-20 11:25:40/_result.txt,52288,15135
120000,demo_clean-static-s2g4-u120000,checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_last.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260419_121621.log,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/eval_20260419_121621.log,65/100,65.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u120000/2026-04-20 15:37:55/_result.txt,52288,21236
