budget,ckpt_setting,ckpt_dir,ckpt_path,plan_dir,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
10000,demo_clean-static-s2g4-u10000,checkpoints/open_laptop/demo_clean-static-s2g4-u10000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_10000_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260421_100445.log,logs/open_laptop/demo_clean-static-s2g4-u10000-200-seed0/eval_20260421_100445.log,49/100,49.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u10000/2026-04-22 03:29:51/_result.txt,62700,18447
30000,demo_clean-static-s2g4-u30000,checkpoints/open_laptop/demo_clean-static-s2g4-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_30000_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260421_100445.log,logs/open_laptop/demo_clean-static-s2g4-u30000-200-seed0/eval_20260421_100445.log,68/100,68.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u30000/2026-04-22 08:37:15/_result.txt,62700,14576
60000,demo_clean-static-s2g4-u60000,checkpoints/open_laptop/demo_clean-static-s2g4-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_update_60000_seed_0.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260421_100445.log,logs/open_laptop/demo_clean-static-s2g4-u60000-200-seed0/eval_20260421_100445.log,71/100,71.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u60000/2026-04-22 12:40:11/_result.txt,62700,13971
120000,demo_clean-static-s2g4-u120000,checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/policy_last.ckpt,plans/open_laptop/demo_clean-static-s2g4-200-seed0,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/train_20260421_100445.log,logs/open_laptop/demo_clean-static-s2g4-u120000-200-seed0/eval_20260421_100445.log,66/100,66.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-static-s2g4-u120000/2026-04-22 16:33:02/_result.txt,62700,16355
