budget,ckpt_setting,ckpt_dir,ckpt_path,train_log,eval_log,success_fraction,success_percent,result_path,train_seconds,eval_seconds
0,demo_clean-u0,checkpoints/open_laptop/demo_clean-u0-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_0_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260418_170918.log,logs/open_laptop/demo_clean-u0-200-seed0/eval_20260418_170918.log,82/100,82.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u0/2026-04-18 17:09:24/_result.txt,,21206
30000,demo_clean-u30000,checkpoints/open_laptop/demo_clean-u30000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_30000_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260418_170918.log,logs/open_laptop/demo_clean-u30000-200-seed0/eval_20260418_170918.log,67/100,67.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u30000/2026-04-18 23:02:47/_result.txt,,11896
60000,demo_clean-u60000,checkpoints/open_laptop/demo_clean-u60000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_update_60000_seed_0.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260418_170918.log,logs/open_laptop/demo_clean-u60000-200-seed0/eval_20260418_170918.log,68/100,68.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u60000/2026-04-19 02:21:03/_result.txt,,14205
120000,demo_clean-u120000,checkpoints/open_laptop/demo_clean-u120000-200-seed0,/root/code/RoboTwin-task2/policy/DP/checkpoints/open_laptop/demo_clean-u120000-200-seed0/policy_last.ckpt,logs/open_laptop/demo_clean-u120000-200-seed0/train_20260418_170918.log,logs/open_laptop/demo_clean-u120000-200-seed0/eval_20260418_170918.log,67/100,67.0%,eval_result/open_laptop/DP/demo_clean/demo_clean-u120000/2026-04-19 06:17:48/_result.txt,,9913
